ID,City,District,Neighborhood,Condition,Type,Rooms,Area_m2,Lift,Views,Floor_number,Price
62,Barcelona,Eixample,La Sagrada Família,Good Condition,Flat,3,85,Yes,Exterior,Floor 2,339000
63,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,5,160,Yes,Exterior,Floor 4,850000
64,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,2,120,Yes,Exterior,Floor 3,575000
65,Barcelona,Les Corts,Pedralbes,Good Condition,Flat,4,206,Yes,Exterior,Floor 11,1250000
66,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,Good Condition,Flat,4,232,Yes,Exterior,Floor 2,1175000
67,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,203,Yes,Exterior,Floor 1,1095000
68,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,1,59,Yes,Exterior,Floor 4,480000
69,Barcelona,Eixample,Sant Antoni,Good Condition,Penthouse,4,167,Yes,Exterior,Floor 6,695000
70,Barcelona,Les Corts,Pedralbes,Good Condition,Flat,5,232,Yes,Exterior,Floor 2,1660000
71,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Duplex,4,800,Yes,Exterior,Ground Floor,1700000
72,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina I La Ribera,Good Condition,Flat,2,86,No,Exterior,Ground Floor,298000
73,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,Flat,4,105,Yes,Exterior,Floor 2,425000
74,Barcelona,Ciutat Vella,El Raval,Good Condition,Flat,3,145,Yes,Exterior,Floor 1,680000
75,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,5,155,Yes,Exterior,Floor 4,875000
76,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,148,Yes,Exterior,Floor 3,995000
77,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,4,102,Yes,Exterior,Floor 3,440000
78,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,5,250,Yes,Exterior,Floor 2,1100000
79,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,101,Yes,Exterior,Floor 3,625000
80,Barcelona,Les Corts,La Maternitat I Sant Ramon,Good Condition,Flat,3,100,Yes,Exterior,Floor 2,385000
81,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Penthouse,2,88,Yes,Exterior,Floor 4,710000
82,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,1,77,Yes,Exterior,Floor 1,260000
83,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,87,Yes,Exterior,Floor 5,399000
84,Barcelona,Sant Martí,El Clot,Good Condition,Flat,1,60,Yes,Exterior,Floor 1,179000
85,Barcelona,Sarrià-Sant Gervasi,Vallvidrera - El Tibidabo I Les Planes,Good Condition,Detached,4,243,No,Exterior,Multiple,650000
86,Barcelona,Eixample,El Fort Pienc,Good Condition,Flat,3,118,Yes,Exterior,Floor 2,445000
87,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,Semi-Detached,5,311,No,Exterior,Multiple,960000
88,Barcelona,Sarrià-Sant Gervasi,Les Tres Torres,Good Condition,Flat,3,118,Yes,Exterior,Floor 2,795000
89,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,72,Yes,Exterior,Floor 5,450000
90,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina I La Ribera,Good Condition,Flat,3,68,No,Exterior,Floor 3,233150
91,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,87,Yes,Exterior,Floor 5,365000
92,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,90,Yes,Exterior,Floor 1,690000
93,Barcelona,Sarrià-Sant Gervasi,Vallvidrera - El Tibidabo I Les Planes,Good Condition,Detached,5,380,No,Exterior,Multiple,830000
94,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,225,Yes,Exterior,Floor 6,1100000
95,Barcelona,Sant Martí,El Besòs I El Maresme,Good Condition,Flat,3,94,Yes,Exterior,Floor 7,359000
96,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,House,6,296,No,Exterior,Multiple,1350000
97,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Flat,1,81,No,Exterior,Mezzanine,430000
98,Barcelona,Horta-Guinardó,La Font D'En Fargues,Good Condition,Rustic,5,161,No,Exterior,Multiple,490000
99,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Penthouse,3,140,Yes,Exterior,Floor 5,1050000
100,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,134,Yes,Exterior,Floor 4,595000
101,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina I La Ribera,Good Condition,Flat,1,86,Yes,Exterior,Floor 4,390000
102,Barcelona,Les Corts,Les Corts,Good Condition,Flat,4,170,Yes,Exterior,Floor 1,668000
103,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,Duplex,3,197,Yes,Exterior,Floor 2,800000
104,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Penthouse,4,145,Yes,Exterior,Floor 5,760000
105,Barcelona,Les Corts,La Maternitat I Sant Ramon,Good Condition,Duplex,3,170,Yes,Exterior,Ground Floor,490000
106,Barcelona,Eixample,La Sagrada Família,Good Condition,Flat,4,101,Yes,Interior,Floor 3,309000
107,Barcelona,Horta-Guinardó,La Font D'En Fargues,Good Condition,Flat,4,122,No,Exterior,Floor 2,449000
108,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Penthouse,2,213,Yes,Exterior,Floor 7,1500000
109,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,105,Yes,Exterior,Floor 2,630000
110,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,318,Yes,Exterior,Floor 4,2500000
111,Barcelona,Eixample,Sant Antoni,Good Condition,Flat,3,80,Yes,Exterior,Floor 2,365000
112,Barcelona,Sant Martí,Provençals Del Poblenou,Good Condition,Flat,4,90,Yes,Exterior,Floor 4,370000
113,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,4,109,Yes,Exterior,Floor 7,475000
114,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,110,Yes,Exterior,Floor 3,645000
115,Barcelona,Eixample,El Fort Pienc,Good Condition,Flat,4,97,Yes,Exterior,Floor 2,495000
116,Barcelona,Eixample,Sant Antoni,Good Condition,Penthouse,3,101,Yes,Exterior,Floor 5,480000
117,Barcelona,Gràcia,El Camp D'En Grassot I Gràcia Nova,Good Condition,Flat,3,130,Yes,Exterior,Mezzanine,630000
118,Barcelona,Gràcia,Vallcarca I Els Penitents,Good Condition,Semi-Detached,4,364,No,Exterior,Multiple,1149000
119,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,Semi-Detached,5,465,No,Exterior,Multiple,3370000
120,Barcelona,Les Corts,Les Corts,Good Condition,Flat,3,88,Yes,Exterior,Floor 2,389000
121,Barcelona,Gràcia,El Camp D'En Grassot I Gràcia Nova,Good Condition,Flat,4,85,Yes,Exterior,Floor 6,375000
122,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,113,Yes,Exterior,Mezzanine,378000
123,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,108,Yes,Exterior,Mezzanine,375000
124,Barcelona,Sants-Montjuïc,La Bordeta,Good Condition,Flat,4,90,Yes,Exterior,Floor 3,279500
125,Barcelona,Les Corts,Les Corts,Good Condition,Flat,2,134,Yes,Exterior,Floor 1,670000
126,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,Flat,4,217,Yes,Exterior,Floor 4,1150000
127,Barcelona,Les Corts,Les Corts,Good Condition,Flat,3,121,Yes,Exterior,Floor 6,1454000
128,Barcelona,Les Corts,Les Corts,Good Condition,Flat,3,95,Yes,Exterior,Floor 5,1082000
129,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,125,Yes,Exterior,Floor 5,690000
130,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,2,71,Yes,Exterior,Floor 3,348000
131,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,Flat,3,90,No,Exterior,Ground Floor,490000
132,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,90,Yes,Exterior,Floor 3,760000
133,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,148,Yes,Exterior,Mezzanine,1325000
134,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,5,206,Yes,Exterior,Floor 4,1095000
135,Barcelona,Sant Martí,Diagonal Mar I El Front Marítim Del Poblenou,Good Condition,Penthouse,4,147,Yes,Exterior,Floor 5,790000
136,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,118,Yes,Exterior,Floor 3,975000
137,Barcelona,Eixample,La Sagrada Família,Good Condition,Flat,3,121,Yes,Exterior,Floor 1,465000
138,Barcelona,Gràcia,La Salut,Good Condition,Flat,3,91,Yes,Exterior,Floor 1,499000
139,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,93,Yes,Exterior,Floor 8,405000
140,Barcelona,Horta-Guinardó,La Font D'En Fargues,Good Condition,Flat,2,64,No,Exterior,Ground Floor,149000
141,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,138,Yes,Exterior,Floor 2,850000
142,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,126,Yes,Exterior,Floor 1,735000
143,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,130,Yes,Exterior,Floor 1,795000
144,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,2,132,Yes,Exterior,Mezzanine,599000
145,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,135,Yes,Exterior,Floor 4,895000
146,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,115,Yes,Exterior,Floor 4,615000
147,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,144,Yes,Exterior,Floor 4,630000
148,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,141,Yes,Exterior,Floor 3,825000
149,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,128,Yes,Exterior,Floor 4,749000
150,Barcelona,Les Corts,Pedralbes,Good Condition,Flat,4,225,Yes,Exterior,Floor 1,1350000
151,Barcelona,Eixample,El Fort Pienc,Good Condition,Flat,3,158,Yes,Exterior,Floor 4,599000
152,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,2,102,Yes,Exterior,Floor 4,595000
153,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,173,Yes,Exterior,Floor 4,1600000
154,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,4,136,Yes,Exterior,Mezzanine,745000
155,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,6,235,Yes,Exterior,Floor 4,1220000
156,Barcelona,Ciutat Vella,La Barceloneta,Good Condition,Flat,3,76,No,Exterior,Floor 3,395000
157,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,122,Yes,Exterior,Floor 1,620000
158,Barcelona,Sants-Montjuïc,Sants,Good Condition,Flat,3,78,Yes,Exterior,Floor 3,390000
159,Barcelona,Sant Martí,La Verneda I La Pau,Good Condition,Flat,3,79,No,Exterior,Floor 1,150000
160,Barcelona,Ciutat Vella,El Raval,Good Condition,Flat,3,108,No,Exterior,Floor 2,298000
161,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,109,Yes,Exterior,Floor 1,380000
162,Barcelona,Sant Martí,El Parc I La Llacuna Del Poblenou,Good Condition,Flat,3,73,Yes,Exterior,Ground Floor,283000
163,Barcelona,Nou Barris,Les Roquetes,Good Condition,Flat,3,105,No,Exterior,Floor 1,240000
164,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,4,154,Yes,Exterior,Floor 3,590000
165,Barcelona,Gràcia,El Camp D'En Grassot I Gràcia Nova,Good Condition,Flat,2,65,Yes,Interior,Floor 4,290000
166,Barcelona,Horta-Guinardó,El Baix Guinardó,Good Condition,Flat,3,122,Yes,Exterior,Floor 3,450000
167,Barcelona,Nou Barris,La Prosperitat,Good Condition,Penthouse,2,60,Yes,Exterior,Floor 4,254900
168,Barcelona,Eixample,La Sagrada Família,Good Condition,Flat,4,87,Yes,Exterior,Floor 4,354000
169,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,Good Condition,Flat,3,116,Yes,Exterior,Mezzanine,845000
170,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,240,Yes,Exterior,Floor 6,960000
171,Barcelona,Les Corts,Les Corts,Good Condition,Flat,4,96,Yes,Exterior,Floor 4,385000
172,Barcelona,Horta-Guinardó,El Guinardó,Good Condition,Flat,3,88,Yes,Exterior,Floor 1,340000
173,Barcelona,Sant Martí,El Clot,Good Condition,Penthouse,3,114,Yes,Exterior,Floor 5,465000
174,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,5,152,Yes,Exterior,Floor 4,750000
175,Barcelona,Sant Martí,Provençals Del Poblenou,Good Condition,Duplex,2,107,Yes,Exterior,Ground Floor,698000
176,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,Flat,3,148,Yes,Exterior,Floor 2,1300000
177,Barcelona,Eixample,Sant Antoni,Good Condition,Flat,3,140,Yes,Exterior,Floor 8,635000
178,Barcelona,Nou Barris,Vilapicina I La Torre Llobeta,Good Condition,Penthouse,2,42,Yes,Exterior,Floor 6,192100
179,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,4,180,Yes,Exterior,Floor 1,1095000
180,Barcelona,Horta-Guinardó,El Baix Guinardó,Good Condition,Flat,3,87,Yes,Exterior,Floor 5,625000
181,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,Flat,4,139,Yes,Exterior,Floor 3,1100000
182,Barcelona,Sarrià-Sant Gervasi,Les Tres Torres,Good Condition,Penthouse,4,365,Yes,Exterior,Floor 5,2150000
183,Barcelona,Gràcia,Vallcarca I Els Penitents,Good Condition,Penthouse,2,80,Yes,Exterior,Floor 4,429000
184,Barcelona,Sant Martí,El Poblenou,Good Condition,Penthouse,2,93,No,Exterior,Floor 2,455000
185,Barcelona,Nou Barris,Vilapicina I La Torre Llobeta,Good Condition,Penthouse,3,125,Yes,Exterior,Floor 5,460000
186,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Penthouse,5,155,Yes,Exterior,Floor 9,890000
187,Barcelona,Ciutat Vella,El Barri Gòtic,Good Condition,Flat,3,134,Yes,Exterior,Floor 1,790000
188,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,2,112,Yes,Exterior,Mezzanine,550000
189,Barcelona,Les Corts,Les Corts,Good Condition,Flat,4,95,Yes,Exterior,Floor 8,560000
190,Barcelona,Sant Andreu,Sant Andreu,Good Condition,Terraced,3,75,No,Exterior,Multiple,298000
191,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,1,52,Yes,Exterior,Floor 5,370000
192,Barcelona,Les Corts,Les Corts,Good Condition,Flat,2,105,Yes,Exterior,Ground Floor,573000
193,Barcelona,Les Corts,Les Corts,Good Condition,Flat,3,76,Yes,Exterior,Floor 3,339500
194,Barcelona,Les Corts,La Maternitat I Sant Ramon,Good Condition,Flat,4,101,Yes,Interior,Floor 3,437500
195,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,146,Yes,Exterior,Floor 1,1430000
196,Barcelona,Eixample,La Dreta De L'Eixample,Good Condition,Flat,3,169,Yes,Exterior,Floor 6,1650000
197,Barcelona,Sants-Montjuïc,Sants,Good Condition,Flat,2,82,Yes,Exterior,Floor 3,379000
198,Barcelona,Eixample,La Sagrada Família,Good Condition,Flat,4,84,Yes,Exterior,Floor 4,320000
199,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina I La Ribera,Good Condition,Flat,2,74,No,Exterior,Floor 2,315000
200,Barcelona,Eixample,L'Antiga Esquerra De L'Eixample,Good Condition,Flat,3,75,Yes,Exterior,Floor 2,540000
201,Barcelona,Eixample,Sant Antoni,Good Condition,Flat,4,136,Yes,Exterior,Floor 4,820000
202,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,Flat,4,130,Yes,Exterior,Floor 1,720000
203,Barcelona,Sarrià-Sant Gervasi,Sarrià,Good Condition,Flat,3,126,Yes,Exterior,Floor 1,790000
204,Barcelona,Sants-Montjuïc,Sants,Good Condition,Flat,3,93,Yes,Exterior,Floor 8,405000
205,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,House,5,311,No,Exterior,Multiple,990000
206,Barcelona,Sant Martí,El Poblenou,Good Condition,Flat,3,90,Yes,Interior,Ground Floor,330000
207,Barcelona,Eixample,La Nova Esquerra De L'Eixample,Good Condition,Flat,3,93,Yes,Exterior,Floor 8,415000
208,Barcelona,Sant Martí,Provençals Del Poblenou,Good Condition,Flat,4,91,Yes,Exterior,Floor 5,260000
209,Barcelona,Sants-Montjuïc,Sants,Good Condition,Flat,4,86,Yes,Exterior,Floor 1,320000
210,Barcelona,Sant Martí,La Verneda I La Pau,Good Condition,Flat,4,81,Yes,Exterior,Floor 6,270000
211,Barcelona,Ciutat Vella,El Raval,Good Condition,Penthouse,2,63,Yes,Exterior,Floor 5,349000
212,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Good Condition,Flat,3,104,Yes,Exterior,Floor 2,660000
213,Barcelona,Les Corts,Pedralbes,Good Condition,House,9,605,No,Exterior,Multiple,4500000
214,Barcelona,Les Corts,Pedralbes,Good Condition,House,7,900,No,Exterior,Multiple,10000000
215,Barcelona,Sarrià-Sant Gervasi,Les Tres Torres,Good Condition,House,2,224,No,Exterior,Multiple,2750000
216,Barcelona,Gràcia,El Camp D'En Grassot I Gràcia Nova,Good Condition,House,3,134,No,Exterior,Multiple,780000
217,Barcelona,Horta-Guinardó,La Teixonera,Good Condition,House,3,79,No,Exterior,Multiple,199520
218,Barcelona,Les Corts,Pedralbes,Good Condition,House,5,340,No,Exterior,Multiple,2060000
219,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,House,5,248,No,Exterior,Multiple,1950000
220,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,Good Condition,House,6,474,No,Exterior,Multiple,2350000
221,Barcelona,Nou Barris,La Trinitat Nova,Good Condition,Flat,3,104,No,Exterior,Floor 3,176000
222,Barcelona,Eixample,El Fort Pienc,Good Condition,Flat,3,78,Yes,Exterior,Floor 2,499000
223,Barcelona,Gràcia,El Camp D'En Grassot I Gràcia Nova,Good Condition,Flat,3,97,Yes,Exterior,Floor 5,339000
224,Barcelona,Les Corts,Pedralbes,Good Condition,House,4,185,No,Exterior,Multiple,860000
225,Barcelona,Sarrià-Sant Gervasi,El Putxet I El Farró,Good Condition,Flat,4,107,Yes,Exterior,Floor 4,460000
226,Barcelona,Gràcia,La Vila De Gràcia,Good Condition,Flat,2,65,Yes,Exterior,Floor 2,245000
227,Barcelona,Les Corts,La Maternitat I Sant Ramon,Good Condition,Flat,4,101,Yes,Exterior,Floor 3,437000
